trial,subsample_n,spearman_rho
0,112,0.8185171207544486
1,112,0.783700898488806
2,112,0.7402409930535265
3,112,0.8070622834831751
4,112,0.8009866642965092
5,112,0.7491830967926627
6,112,0.767336271185191
7,112,0.7477537732101402
8,112,0.747227826507078
9,112,0.7419533291272322
10,112,0.7328627741867912
11,112,0.7894173721496671
12,112,0.7287653821572903
13,112,0.7674364980876092
14,112,0.8092004119358136
15,112,0.712414602710649
16,112,0.758672830052576
17,112,0.7911066125203793
18,112,0.7523273186691922
19,112,0.7464333947174101
