feature,gini_importance
linear_probe_difficulty,0.2296302123587425
class_entropy,0.11930935163121835
label_noise,0.10952342782628638
intrinsic_dim,0.06909139886789925
n_features,0.06659633199360195
class_imbalance,0.05726672536424826
n_classes,0.054799114438009736
fisher_ratio,0.05376559437230239
cluster_structure,0.04961336250977476
density_variation,0.03640773232759602
cluster_separation,0.03545636008102867
lid,0.03419126357281682
anisotropy,0.033066138380224736
margin,0.03105174542252216
n_samples,0.020231240853727978
early_loss,0.0
