dataset,alpha_mlp,alpha_rf,alpha_xgb,alpha_ci_lo,alpha_ci_hi,alpha_r2_fit,alpha,cluster_structure,cluster_separation,density_variation,intrinsic_dim,lid,fisher_ratio,margin,linear_probe_difficulty,anisotropy,class_entropy,class_imbalance,label_noise,n_samples,n_features,n_classes,early_loss
blood-transfusion,0.04747991866609676,0.11265892763306182,-0.021334686929430472,0.01673740561916209,0.0959971364928566,0.441310346798651,0.04747991866609676,0.7101639924891878,0.9721524715423584,1.859730813405097,2.761148430518079,1.4426950413399269,0.04782825826407095,0.10707898546345615,0.23111111111111116,13.961920738220215,0.5487262429826446,3.202247191009437,0.2808163265306122,748.0,4.0,2.0,
banknote-authentication,0.5204665131846368,0.6340852016437373,0.7432128203383618,0.08598653947831487,0.862104892069716,0.6719963831944119,0.6340852016437373,0.37204948790655396,1.129380226135254,0.3285541687603254,2.669473647362371,1.9796061416906605,0.1638673535573345,0.335222561528051,0.021844660194174748,13.949051856994629,0.6869976657350199,1.2491803278686475,0.010816326530612244,1372.0,4.0,2.0,
bank-marketing,0.11426902752151823,0.1304561809108454,0.10642646853099486,0.07122677503654512,0.18244888150734206,0.8549900740571876,0.11426902752151823,282.36541497055634,30.856998443603516,0.44316344938344926,6.848172403552201,5.7651185273607215,0.011646537434588313,3.5556796786894616,0.07999999999999996,675160.3125,0.36758860878676597,7.3102493074782116,0.15020408163265306,6000.0,16.0,2.0,
eeg-eye-state,0.125475194795874,0.09943951768584336,0.2586713595568123,0.09672040177767244,0.16717641532369998,0.9044682347609079,0.125475194795874,7.062561963243302,41.24140548706055,0.24297868361924643,6.233292764420342,5.579406797783222,0.00013400082836327435,1.2968158452378404,0.33111111111111113,2872768.0,0.6885641190305303,1.211573903427895,0.27367346938775505,6000.0,14.0,2.0,
phoneme,0.08828505798698605,0.10832469350321862,0.14293653764886557,0.0548842880113998,0.12907545940765455,0.9161831771597049,0.10832469350321862,1.1225338410249126,1.0489263534545898,0.40857925691502167,3.3425383418945067,2.7504472755656924,0.05820729968271128,0.37869399357446154,0.24222222222222223,8.664565086364746,0.6052438198564556,2.40731399747778,0.24122448979591835,5404.0,5.0,2.0,
ozone,0.17441849669787424,0.15072777645210475,0.10262315425118063,0.116216307573699,0.24670786568474365,0.9219950264761736,0.15072777645210475,50.5276338503224,8.414292335510254,0.3444202537953155,12.619136098712305,9.212485688554423,0.005160969787941409,3.056370407651471,0.04888888888888887,2959360.25,0.23552477508910555,14.837499999990728,0.0763265306122449,2534.0,72.0,2.0,
electricity,0.05418449969435823,0.07787790672308748,0.1517613009380327,0.03262301876492077,0.07250081502474673,0.9279312939978004,0.07787790672308748,2.4440978611688573,1.404990553855896,0.47141212927972187,4.588931926204163,3.5886738794015773,0.005166414169225425,0.5520429311732131,0.23555555555555552,1283.629150390625,0.6801841807841633,1.3828435266083645,0.3065306122448979,6000.0,8.0,2.0,
adult,0.020415673505352495,0.07020861545054966,0.1253585977075397,0.008441626579346575,0.029845478402818953,0.7983987305661393,0.07020861545054966,325757.6269310058,3819.9150390625,0.6135549582087894,4.918321119862762,4.331248409362274,0.051619742612989045,4.716336183599356,0.16888888888888887,466935648.0,0.5424784820319455,3.297994269340738,0.2240816326530612,6000.0,14.0,2.0,
magic-telescope,0.10917487965790224,0.10166251659167386,0.14885619964913116,0.09106807001138191,0.12089450416403483,0.9743206682807506,0.10917487965790224,4.485751265063209,1.379979133605957,0.354339278664595,6.870320066051084,5.121591553846403,0.04472620370519545,0.8432447040312364,0.2022222222222222,391.46917724609375,0.6533222402838439,1.7790643816580927,0.2561224489795918,6000.0,10.0,2.0,
qsar-biodeg,0.14274865056843083,0.13783483359687643,0.18934741882195077,0.10330260146180371,0.1734648011369569,0.9274662025975842,0.14274865056843083,64.08390955636992,3.662410259246826,0.49580597550367317,4.5954668661623534,3.8102389360840565,0.014294439157300023,2.69765305660002,0.12302839116719244,51807.1484375,0.6393233357530521,1.9634831460668642,0.27469387755102037,1055.0,41.0,2.0,
steel-plates-fault,0.8435980348796472,0.33057806975498816,1.4636822829640939,0.18668217143931717,1.6600237716788069,0.7067399558870331,0.8435980348796472,15.152852703819148,4.277154922485352,0.4602723781710853,5.448961031575976,4.487885029026499,0.028607413738676826,5.361029514312552,0.0022222222222222365,39605604.0,0.6453978894979567,1.8841010401185907,0.20326530612244897,1941.0,33.0,2.0,
scene,0.1890399162482305,0.9659369721311643,1.145762825544136,0.14799712102247348,0.23818580546725507,0.9582871195008946,0.9659369721311643,0.8992190594433112,0.43939244747161865,2.134374743421464,0.17041481242088014,0.13193674560222837,0.019555776833715156,0.0,0.43999999999999995,5.206140518188477,0.6827430480038836,1.3364485981295922,0.022857142857142854,250.0,6.0,2.0,
wall-robot-navigation,0.21063649731925674,0.4648269409665747,0.9502247171795806,0.11410496763698041,0.34794854145316123,0.8659646714165454,0.4648269409665747,26.667719452831292,6.306221008300781,0.5512232517370671,3.2389927708609005,2.875373267549219,0.11153784646438752,2.276197190205892,0.3355555555555556,281.4805908203125,1.1884928505974293,6.722560975607707,0.37775510204081625,5456.0,24.0,4.0,
cardiotocography,0.7272561900201459,0.6892866490647326,1.6061828635354594,0.09216371663428219,1.510755788555428,0.6820574896415645,0.7272561900201459,9.33819363279982,6.67144775390625,0.37900884507691124,4.515899365483092,4.560461363353715,0.050264174206714446,3.195209167289377,0.004444444444444473,58101067776.0,2.019384765510779,10.92452830186618,0.26530612244897955,2126.0,35.0,10.0,
hill-valley,0.129180255158543,0.09610450237159343,0.27976085161989583,0.10152486849474227,0.1673930231776486,0.9083373714645776,0.129180255158543,214418.15181514612,58.09210205078125,2.186657102353211,55.55843316004864,48.37020747623625,0.003422125559495903,212.50213045362403,0.1428571428571429,921.1273803710938,0.6931471803599453,0.9999999999998349,0.3036734693877551,1212.0,80.0,2.0,
kc1,0.039196047148815,0.19485826234849785,0.04455781235677914,0.015174264909227582,0.06031330211359767,0.8021300133236531,0.04455781235677914,39.96695612526961,9.602728843688965,1.8673991185122303,7.079551217765337,1.4743489968238104,0.0858019546827691,2.4824705642757383,0.1444444444444445,589532032.0,0.4305645506080653,5.469325153372556,0.23959183673469384,2109.0,21.0,2.0,
kc2,0.12649159631241458,0.26855461642642636,-0.03352202085925858,0.055932811409264434,0.18928173556676048,0.6333388764287825,0.12649159631241458,36.76891690407623,16.305227279663086,3.2362290692847826,5.680504562256267,3.808352524521104,0.06907442309577977,2.3409584312134872,0.19108280254777066,2560381.5,0.5072302865654668,3.8785046728935715,0.19841269841269837,522.0,21.0,2.0,
nomao,0.4034280847645458,0.16269564713584986,0.2988783987936403,0.34183152772502656,0.5070666909677479,0.9577703385990962,0.2988783987936403,120.57001611891344,1.501322627067566,2.010365398066025,10.946966747767672,9.163755543084427,0.002509928747674465,10.723988644199943,0.07999999999999996,34.0775032043457,0.6002002669324866,2.4742327735956877,0.20714285714285716,6000.0,80.0,2.0,
kc3,0.1574298742862176,0.3812788771875911,0.13135063800246585,0.05613639194064534,0.22054571862301303,0.7310831975765044,0.1574298742862176,40.63437283211849,12.10487174987793,5.986827609675013,5.091905238833276,3.790147703771855,0.01936184599140208,9.205247578573513,0.07207207207207211,1569187328.0,0.25216701708943834,13.402597402579996,0.10122448979591837,1109.0,21.0,2.0,
cnae-9,0.44541319403089497,0.26513816768686516,0.40722578583493174,0.18457566187621074,0.6717784824864382,0.7570211735752443,0.40722578583493174,54.09088134761117,3.584824562072754,0.6027718635391826,7.368191041229698,5.978201947948532,0.07436022882615247,6.595649610930085,0.0864197530864198,4.472315311431885,2.1972245764362195,0.9999999999991667,0.26163265306122446,1080.0,80.0,9.0,
pc3,0.17189836798699026,0.2763000302134585,0.08359116352889685,0.06894952354093958,0.23162596258527582,0.7418821466905435,0.17189836798699026,21.250293362486367,6.624731540679932,0.6128003760189443,4.8943229014285725,3.9950813741758866,0.05204499365304853,2.59294882282299,0.05785123966942152,869461504.0,0.2711893728418441,11.999999999961291,0.12194257355547677,403.0,37.0,2.0,
pc1,0.5008130767181121,0.025222516680368647,0.025267114626626782,0.3426913354063982,0.8222420715075981,0.8413668193166873,0.025267114626626782,230.31373410306355,77.30453491210938,1.8002193252346714,13.81475976719856,1.4426950413399269,0.04918648924672143,72.56260777534858,0.00666666666666671,4726245888.0,0.02671193807915704,241.99999999894786,0.012448979591836737,5589.0,36.0,2.0,
breast-w,0.19672952799762602,0.2933054751618298,0.2852336124626933,0.06790576993266477,0.2776334436568359,0.7357210386410007,0.2852336124626933,2.7569655913098567,4.202445983886719,1.568564960840091,8.368726487978744,3.315095693232724,0.7661434171100422,1.254730324438149,0.042857142857142816,110.25904846191406,0.6441541078484818,1.9004149377585478,0.05395462906192519,699.0,9.0,2.0,
jm1,0.06832679064196598,0.14433440469780187,0.0658036848185241,0.0479927903290697,0.09475905402479028,0.9192272276446823,0.06832679064196598,82.18380366770593,18.01717185974121,4.7258155919521165,5.537880470894212,4.044166423783863,0.00901756564915366,2.9021606142414273,0.18000000000000005,17436416.0,0.49457165756275934,4.106382978723055,0.25530612244897954,6000.0,21.0,2.0,
diabetes,0.06112770704238929,0.045935255418767376,0.05086940734984633,0.04030570045760809,0.0787368776168299,0.8788565529880128,0.05086940734984633,2.875163126019427,1.119005560874939,0.3031943768775835,6.466699493999334,5.357877386249666,0.05762994647324396,0.8833857876303219,0.2554112554112554,10.440689086914062,0.6467994204632901,1.8656716417903487,0.31,768.0,8.0,2.0,
ecoli,0.05474092710337139,0.18356225849324206,,0.04038778979743424,0.07117110364226853,0.9433879850232159,0.11915159279830673,0.4163580387042184,1.6689693927764893,0.3224991201385291,4.462499142875563,3.6732017026242065,1.242134523986288,0.4619455265229925,0.12871287128712872,1490.142578125,1.5171228291520311,71.499999996425,0.22321428571428573,336.0,7.0,8.0,
heart-statlog,0.09011312670198462,0.09438617153826599,0.101917033086627,-0.028423492039238732,0.24893398059880656,0.5222946424701642,0.09438617153826599,3.524096857704047,1.73045814037323,0.2230800883098782,8.307271758449112,6.774652202049879,0.13820542634732577,1.528009122549851,0.11111111111111116,14.945606231689453,0.6869615763973234,1.2499999999989584,0.23492063492063486,270.0,13.0,2.0,
ilpd,0.02547544433273726,0.06669717671640378,0.07380983354521954,0.012404266890489157,0.04007939874600921,0.7070724362477085,0.06669717671640378,12.499725123911157,3.336120843887329,0.5349823072643547,5.63001161378307,4.71114376663018,0.033618622806013736,0.8084303836913649,0.29714285714285715,1492.14111328125,0.598941843196318,2.4910179640703647,0.3425630972800784,583.0,10.0,2.0,
yeast,0.0864116505816395,0.1730961759738817,0.14551609787192588,0.03190861893637669,0.12771675333344581,0.7827624872155212,0.14551609787192588,1.8330033110545325,2.083063840866089,0.33898316612505824,5.614147214814087,4.701180248287153,0.274010770077201,0.7713084051101858,0.4080717488789237,798.40087890625,1.7262259619714786,92.599999998148,0.530408163265306,1484.0,8.0,10.0,
dermatology,0.19733266360958368,0.7089868423378284,1.0689148664242878,0.06444973058948941,0.33879498293363186,0.7074708481188094,0.7089868423378284,4.841354118184538,5.044351577758789,0.22269363765154243,9.346504168543511,7.963721347270814,1.463381168278135,1.9568242326764453,0.036363636363636376,533.91015625,1.68614794123439,5.599999999972001,0.06440281030444964,366.0,34.0,6.0,
thoracic-surgery,0.18332456370124942,0.09224626652996226,0.08111554560616277,0.09061727502609933,0.2412019083893015,0.8866602097893579,0.09224626652996226,0.2603389787959529,1.3097974061965942,0.5089133576373613,500.0,1.4426950413399269,1.3263427420219744,0.04788732394366197,0.2644444444444445,4.607637405395508,2.3005591077469636,1.2629629629624952,0.3951020408163265,3200.0,7.0,10.0,
heart-c,0.16673740250861813,-0.003067294192646674,-0.02470426168361965,0.0857810445793586,0.22476798470496245,0.8175098051124404,-0.003067294192646674,3.5083481659193403,1.5638397932052612,0.2656682817153314,8.74516449875412,7.102875085680471,0.1165867887936118,1.5143161427924114,0.15384615384615385,13.315065383911133,0.689171710440425,1.1956521739121773,0.23715228665723712,303.0,13.0,2.0,
arrhythmia,0.10524958363970668,0.3085865393067314,,0.09175099543480539,0.13227888384462164,0.9375895568285778,0.20691806147321906,44.75368176993841,5.32700252532959,0.22709735396446804,25.673686226725376,20.728355065871817,0.07673199131187566,7.996792827653012,0.375,3.1031622886657715,1.6645141421324003,122.499999993875,0.4838811630847029,452.0,80.0,13.0,
liver-disorders,0.06548891292318783,0.3469540637505073,,0.03699597017762024,0.09401501663068257,0.9233891451833074,0.20622148833684756,1.5371038955423826,2.012957811355591,0.4179409673953453,5.263957701119966,4.25707736378939,0.12902192292956677,0.7118737192744284,0.5,8.830812454223633,2.1892882743618554,107.9999999892,0.8430641821946171,345.0,5.0,16.0,
balance-scale,0.11623795690398617,0.24454141504774676,0.2055141269114845,0.030366991685137644,0.1746882075468105,0.7595495203691909,0.2055141269114845,0.7042277142207546,0.8102911114692688,0.02949949602325668,500.0,500.0,0.20384386036532123,0.5,0.13297872340425532,1.0,0.9136485595712407,5.877551020396168,0.21531428571428568,625.0,4.0,3.0,
heart-h,0.11035461190219212,0.06870498291601886,0.11042140761531272,0.03951822686167921,0.16890774202784647,0.8722275810803403,0.11035461190219212,3.1838591861585854,1.7077512741088867,0.3374447439455723,6.075221771159879,4.7948242178871165,0.13515847639126657,1.2457822964091119,0.1910112359550562,20.926128387451172,0.6537306753430708,1.773584905658704,0.2191448007774538,294.0,13.0,2.0,
credit-g,0.06565707870064924,0.05074633707671159,0.07118739206968257,0.041469802866792436,0.09611033875376503,0.8396548891360419,0.06565707870064924,5.681075904481519,0.7878680229187012,0.21035462381388226,10.320216050754535,8.607486186739958,0.015440999122583643,1.7560639300540204,0.2833333333333333,59.21455383300781,0.6108643018548935,2.3333333333325554,0.3420408163265306,1000.0,20.0,2.0,
glass,0.08094099532066039,0.3120120180094291,,0.03985241646531195,0.12159013222849514,0.8544338338795053,0.19647650666504476,2.0145233263769917,2.740719795227051,0.5943542040746549,4.325577417203894,3.5590270017290617,0.2692038266752432,1.1613370169770763,0.41538461538461535,2391.8212890625,1.5086583996236944,8.444444444350617,0.37917222963951935,214.0,9.0,6.0,
kr-vs-kp,0.7490752143554676,0.21679615672988772,0.6249659250954654,0.4384661484333211,1.145549827075306,0.8927474701582642,0.6249659250954654,3.371594349590318,0.7677727937698364,0.14449840006917328,5.77078044484973,4.729953434911221,0.03192406152190966,1.2513335317044225,0.05777777777777782,2083.736083984375,0.6921598189951594,1.092992796332607,0.23163265306122444,3196.0,36.0,2.0,
nursery,0.33791898857596886,0.2349630649637404,,0.1854199925156374,0.5318826255525894,0.873341760830541,0.2864410267698546,0.9925434812532233,1.0014944076538086,0.08872960737449505,6.576809228192318,5.461435359915959,0.07946371141064444,0.6318680054064592,0.24888888888888894,3.08974289894104,1.193302453564195,996.499999950175,0.42061224489795923,6000.0,8.0,5.0,
mushroom,0.7656151143286536,0.7058844812331202,1.0077140351236131,0.29767458945692715,1.4388959392543654,0.771716325120445,0.7656151143286536,4.730559573077499,1.7605053186416626,0.2837175300871356,2.7594342917321617,2.5846028262080942,0.05869150202122136,2.061881595038516,0.04888888888888887,1985.344970703125,0.6924501294960286,1.0775623268697687,0.029387755102040815,6000.0,22.0,2.0,
soybean,0.10492272573437057,0.9035367437032388,0.888489586927281,0.05050905832385945,0.17007438617138448,0.7408876150440751,0.888489586927281,1.7825940043727786,4.972997665405273,0.8878749762088455,3.183058176134426,2.613820287121976,1.3567084081144805,1.5248730018307848,0.12682926829268293,704.8995361328125,2.6585715436245123,11.49999999985625,0.18343442794394477,683.0,35.0,19.0,
tic-tac-toe,0.08508773551871712,0.3186546098701214,0.8706281247879474,0.06497100826929551,0.10154239040739745,0.9399778922490654,0.3186546098701214,2.1321727620967215,0.33289891481399536,0.1222373154292484,4.932606922158014,4.25528629178072,0.007040698569794427,0.8606210529483447,0.3194444444444444,6.20440149307251,0.6452881306007813,1.885542168674131,0.2320408163265306,958.0,9.0,2.0,
sonar,0.13241021568354572,0.1312693650067941,0.43385350137222256,0.046856017199886454,0.23675468721640153,0.7053204859232539,0.13241021568354572,22.78941821243798,2.7248761653900146,0.3258588043359699,9.996351106306218,7.9915160617105645,0.049369528715423106,5.288495486966059,0.23809523809523814,3389.204833984375,0.6908803042104659,1.1443298969060367,0.25206043956043955,208.0,60.0,2.0,
segment,0.31893947909482123,0.4061422698273012,0.6607484845209103,0.0066240785432131796,0.6990580599537644,0.6621762182016577,0.4061422698273012,133.30025276124613,10.813920021057129,0.572888543286903,5.071206314827188,3.9317739109497625,0.042559802561232145,8.80373769062064,0.053333333333333344,18206756864.0,1.945910148355313,0.999999999999697,0.15612244897959182,2310.0,19.0,7.0,
vehicle,0.1650548654130768,0.20843085758234625,0.241286657493817,0.07798932204665852,0.23042521238352456,0.7775165376240295,0.20843085758234625,2.332521100329223,1.5953959226608276,0.22158810848844382,6.482906421452316,5.277467797100492,0.11423971244251738,0.9101210118090276,0.19685039370078738,28520.677734375,1.385647491881233,1.095477386934123,0.3208163265306122,846.0,18.0,4.0,
splice,0.3002076419652084,0.2099165185008967,0.46422472275527293,0.16496667629293005,0.46558015894302307,0.8747511641073763,0.3002076419652084,62.289342521015236,1.5722332000732422,0.1171361651930771,27.460533124906945,21.92082196129796,0.009202876539910535,8.359965600847815,0.2022222222222222,24.499055862426758,1.025975710201908,2.157757496740266,0.5761224489795918,3190.0,60.0,3.0,
vowel,0.18557482735624334,0.45623685739629466,0.5833058165696983,0.07332147075577586,0.2867898261357365,0.6780242896298738,0.45623685739629466,1.3229291588354344,1.504111886024475,0.28436447693427214,2.0912028947802725,1.555080008673466,0.2736728132338935,0.817671676928008,0.35016835016835013,33.24851608276367,2.3978952716983706,0.9999999999988889,0.3530612244897959,990.0,12.0,11.0,
cmc,0.05692845944299714,0.0869035316852832,0.13712192753710614,0.03125927855854692,0.07776428848049294,0.8758994646804859,0.0869035316852832,1.5813112318103126,0.6237086057662964,0.7234396100089321,3.3571407893738345,3.082364764814427,0.036870644008148414,0.4486662978421867,0.47058823529411764,22.863805770874023,1.066777481863813,1.8888888888883217,0.5626530612244898,1473.0,9.0,3.0,
